product_id,title,assigned_leaf_id,assigned_leaf_name,assigned_leaf_path,top_level_id,top_level_name,score,top3_leaf_ids,top3_leaf_names,top3_scores,needs_review,review_reason
B08WJL94V9,"I'd Shank A Bitch for You Right in the Kidney, Best Friend, Friendship Gifts for Women, Birthday Gifts for Female, Going Away, Funny Gifts, Long Distance, Joke, Funny Candle, Scented Soy 10 oz. Candle",home_goods_decor_candles,Decorative Home Candles,Products > Home Goods > Home Decor > Decorative Home Candles,home_goods,Home Goods,0.4192,home_goods_decor_candles|home_goods_decor_vases|home_goods_decor_lighting,Decorative Home Candles|Decorative Vases|Decorative Lighting,0.4192|0.3618|0.2585,false,
B01M8O58NW,"Alka-Seltzer Original Effervescent Tablets, 36 Count",skin_care_cleansers,Cleansers,Products > Cosmetics > Skin Care > Cleansers,cosmetics,Cosmetics,0.2681,skin_care_cleansers|skin_care_moisturizers|pet_food_dry_food,Cleansers|Moisturizers|Dry Food,0.2681|0.2189|0.1638,true,low_confidence|ambiguous_top2
B082SPSVLY,"upHere GS05ARGB Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket,Built-in ARGB Strip,Adjustable Length and Height Support",cameras_memory_cards,Camera Memory Cards,Products > Electronics > Cameras > Camera Memory Cards,electronics,Electronics,0.3099,cameras_memory_cards|cameras_tripods|televisions_mounts,Camera Memory Cards|Tripods|TV Mounts,0.3099|0.3080|0.2805,true,low_confidence|ambiguous_top2
B004GBEIHU,"Custom Address Stamp, Self-Inking Monogram Address Stamp, Personalized Address Stamp",home_goods_decor_wall,Wall Decor,Products > Home Goods > Home Decor > Wall Decor,home_goods,Home Goods,0.3227,home_goods_decor_wall|home_goods_decor_wall_art|home_goods_decor_candles,Wall Decor|Wall Art|Decorative Home Candles,0.3227|0.3025|0.2613,true,low_confidence|ambiguous_top2
B07TYKJYPB,Big Girls Mustard Yellow Off Shoulder Crop Ruffle Layered Top and Skirt Set Outfit USA Size 12,kids_clothing_school_uniforms,School Uniforms,Products > Clothing > Kids Clothing > School Uniforms,clothing,Clothing,0.3759,kids_clothing_school_uniforms|mens_clothing_outerwear|womens_clothing_tops,School Uniforms|Outerwear|Women Tops,0.3759|0.3692|0.3507,true,ambiguous_top2
B09BKR5L3B,Abstract Adult Posters Porn Posters Nude Poster Naked Truth Women Sex Nudie Sexy Boobsgirl Uncensored Hot Girl posters for room aesthetic (24×36inch-No Framed),womens_clothing_tops,Women Tops,Products > Clothing > Women's Clothing > Women Tops,clothing,Clothing,0.3206,womens_clothing_tops|mens_clothing_outerwear|makeup_foundation,Women Tops|Outerwear|Foundation,0.3206|0.3016|0.2961,true,low_confidence|ambiguous_top2
B01FL5EKZY,Law & Order Complete Series Ultimate Collection Seasons 1-20,books_children_chapter_books,Chapter Books,Products > Books > Children Books > Chapter Books,books,Books,0.2279,books_children_chapter_books|books_fiction_mystery|books_fiction_thriller,Chapter Books|Mystery Books|Thrillers,0.2279|0.2065|0.2018,true,low_confidence|ambiguous_top2
B07RYKBGQM,"Ariceleo Led Fairy Lights Battery Operated, 1 Pack Mini Battery Powered Copper Wire Starry Fairy Lights for Bedroom, Christmas, Parties, Wedding, Centerpiece, Decoration (5m/16ft Cool White)",home_goods_decor_candles,Decorative Home Candles,Products > Home Goods > Home Decor > Decorative Home Candles,home_goods,Home Goods,0.522,home_goods_decor_candles|home_goods_decor_lighting|home_goods_decor_vases,Decorative Home Candles|Decorative Lighting|Decorative Vases,0.5220|0.4412|0.3889,false,
B085LBHWHG,"Owen Sewn Barrier Nylon Biohazard Laundry Bag 30""X40""",camping_gear_sleeping_bags,Sleeping Bags,Products > Outdoor Goods > Camping Gear > Sleeping Bags,outdoor_goods,Outdoor Goods,0.4621,camping_gear_sleeping_bags|camping_gear_tents|mens_clothing_outerwear,Sleeping Bags|Tents|Outerwear,0.4621|0.2870|0.2522,false,
B0823WL2HQ,Piercing Kit - WZPB 43pcs Body Piercing Kit Professional Ear Nose Piercing Kit Body Piercing Kits with Piercing Jewelry 14G 16G Piercing Needles Piercing Clamps for Ear Nose Lip Piercing,headphones_earbuds,Earbuds,Products > Electronics > Headphones > Earbuds,electronics,Electronics,0.3118,headphones_earbuds|accessories_hats|accessories_belts,Earbuds|Headwear|Belts,0.3118|0.2885|0.2882,true,low_confidence|ambiguous_top2
B07P7RPVWM,"High Sierra Loop-Backpack, School, Travel, or Work Bookbag with tablet-sleeve, Unicorn Clouds/Lavender/White, One Size",camping_gear_sleeping_bags,Sleeping Bags,Products > Outdoor Goods > Camping Gear > Sleeping Bags,outdoor_goods,Outdoor Goods,0.5364,camping_gear_sleeping_bags|sports_equipment_hiking|camping_gear_tents,Sleeping Bags|Hiking|Tents,0.5364|0.5040|0.4640,true,ambiguous_top2
B00THJAQ1I,"Big Dot of Happiness Paris, Ooh La La - Paris Themed DIY Shaped Baby Shower or Birthday Party Cut-Outs - 24 Count",toys_board_games_party_games,Party Games,Products > Toys > Board Games > Party Games,toys,Toys,0.3088,toys_board_games_party_games|home_goods_decor_vases|kids_clothing_onesies,Party Games|Decorative Vases|Baby Onesies,0.3088|0.2903|0.2832,true,low_confidence|ambiguous_top2
B00I2PTJKW,NEXT LEVEL APPAREL 6760 Lady Tri-Blend Dolman Tee Shirt - Vintage Navy44; Medium,womens_clothing_tops,Women Tops,Products > Clothing > Women's Clothing > Women Tops,clothing,Clothing,0.4666,womens_clothing_tops|mens_clothing_shirts|mens_clothing_jeans,Women Tops|Shirts|Jeans,0.4666|0.4263|0.3775,true,ambiguous_top2
B007FHDU62,"Cutter & Buck Men's Big-Tall Long Sleeve Epic Easy Care Nailshead Shirt, White, 4X-Large/Tall",mens_clothing_shirts,Shirts,Products > Clothing > Men's Clothing > Shirts,clothing,Clothing,0.411,mens_clothing_shirts|womens_clothing_tops|mens_clothing_outerwear,Shirts|Women Tops|Outerwear,0.4110|0.3812|0.3488,true,ambiguous_top2
B07F1FRMHV,"Billabong Women's Baja Sandal, Black/Cream, 8 M US",footwear_sandals,Sandals,Products > Clothing > Footwear > Sandals,clothing,Clothing,0.3262,footwear_sandals|womens_clothing_tops|footwear_boots,Sandals|Women Tops|Boots,0.3262|0.3233|0.3129,true,low_confidence|ambiguous_top2
B093DR4Q34,"Funkrin Insulated Water Bottle with Straw and 3 Handle Lids, 32oz Vacuum Stainless Steel Water Flask with Wide Mouth, Double Walled Mug Multiple Colors",camping_gear_sleeping_bags,Sleeping Bags,Products > Outdoor Goods > Camping Gear > Sleeping Bags,outdoor_goods,Outdoor Goods,0.2867,camping_gear_sleeping_bags|footwear_boots|home_goods_kitchenware_cookware,Sleeping Bags|Boots|Cookware,0.2867|0.2042|0.2022,true,low_confidence
B092VRCJ3P,Fullsheild CAT2 Anti-Static FR Welding Cap Reversible Elastic Low Crown Adjustable Size Khaki for Construction Automotive Baseball Cap Style,accessories_hats,Headwear,Products > Clothing > Fashion Accessories > Headwear,clothing,Clothing,0.4613,accessories_hats|makeup_foundation|kids_clothing_school_uniforms,Headwear|Foundation|School Uniforms,0.4613|0.2207|0.2068,false,
B07RWLSVQ5,WANDER Men's Athletic Ankle Socks 8 Pairs Thick Low Cut Socks Cushion Running Socks for Men Sport Cotton Socks 9-12 White,footwear_sandals,Sandals,Products > Clothing > Footwear > Sandals,clothing,Clothing,0.4675,footwear_sandals|footwear_sneakers|footwear_boots,Sandals|Sneakers|Boots,0.4675|0.4460|0.4449,true,ambiguous_top2
B07FSSDR2V,"Marvel Avengers Baby Boys' Bodysuit & Pants Clothing Set, The Hulk (3-6M)",kids_clothing_onesies,Baby Onesies,Products > Clothing > Kids Clothing > Baby Onesies,clothing,Clothing,0.3678,kids_clothing_onesies|kids_clothing_school_uniforms|toys_action_figure_toys_superheroes,Baby Onesies|School Uniforms|Superhero Figures,0.3678|0.3318|0.3308,true,ambiguous_top2
B084RKZ3R6,"Hot Wheels Treasure Hunt Arkham Asylum Batmobile 106/250, Dark Blue",toys_board_games_card_games,Card Games,Products > Toys > Board Games > Card Games,toys,Toys,0.2943,toys_board_games_card_games|outdoor_sports|toys_action_figure_toys_superheroes,Card Games|Adventure Sports|Superhero Figures,0.2943|0.2830|0.2585,true,low_confidence|ambiguous_top2
B00UHRQAGY,The Natural Pet Company Cat Toys Collection in Gift Box,pet_food_treats,Treats,Products > Pet Products > Pet Food > Treats,pet_products,Pet Products,0.498,pet_food_treats|pet_accessories_beds|toys_board_games_card_games,Treats|Pet Beds|Card Games,0.4980|0.4242|0.4069,false,
B07YLTLXH3,CURREN Watches Men Quartz Leather Chronograph Watch and Fashion Bracelet Set Blue Watches for Men Luxury Wristwatch Gifts (Blue),accessories_watches,Dress Watches,Products > Clothing > Fashion Accessories > Dress Watches,clothing,Clothing,0.516,accessories_watches|home_goods_kitchenware_cutlery|kids_clothing_toddler_sets,Dress Watches|Cutlery|Toddler Sets,0.5160|0.2886|0.2869,false,
B08BS113LN,Danganronpa Stickers 100pcs Cool Anime Stickers for Computers Laptop Skateboard Stickers for Kids Teens Adults Laptop Skateboard Guitar Luggage Vinyl Decal StickersQQ2412953224,toys_action_figure_toys_anime,Anime Figures,Products > Toys > Action Figure Toys > Anime Figures,toys,Toys,0.358,toys_action_figure_toys_anime|books_children_books_board_books|computers_laptops,Anime Figures|Board Books|Laptops,0.3580|0.3284|0.3148,true,ambiguous_top2
